fecha,iv
2026-07-30,63.169793133333336
2026-07-31,62.693687458333336
2026-08-01,61.73127875
2026-08-02,60.6130565
2026-08-03,60.40243075
2026-08-04,60.76256991666667
2026-08-05,60.44653170833333
2026-08-06,59.41382045833333
2026-08-07,58.67515875
2026-08-08,58.610199375
2026-08-09,58.22942591666666
2026-08-10,58.10517279166667
2026-08-11,58.41148029166666
2026-08-12,57.77327429166667
2026-08-13,57.55380375000001
2026-08-14,56.79554483333334
2026-08-15,56.354054958333336
2026-08-16,53.82950004166667
2026-08-17,53.51906945833334
2026-08-18,53.621572791666665
2026-08-19,56.66300616666666
2026-08-20,71.62577470833334
2026-08-21,74.066466625
2026-08-22,79.00004470833333
2026-08-23,80.36444075
2026-08-24,81.490529375
2026-08-25,82.68751625
2026-08-26,84.10805620833334
2026-08-27,84.43819054166666
2026-08-28,84.58520287500001
2026-08-29,84.71544016666667
2026-08-30,84.05015625
2026-08-31,83.85619000000001
